número de nodos,total de operações
1305,29935417
1306,29981226
1307,30027065
1308,30072944
1309,30118853
1310,30164802
1311,30210781
1312,30256800
1313,30302849
1314,30348938
1315,30395057
1316,30441216
1317,30487405
1318,30533634
1319,30579893
1320,30626192
1321,30672521
1322,30718890
1323,30765289
1324,30811728
1325,30858197
1326,30904706
1327,30951245
1328,30997824
1329,31044433
1330,31091082
1331,31137761
1332,31184480
1333,31231229
1334,31278018
1335,31324837
1336,31371696
1337,31418585
1338,31465514
1339,31512473
1340,31559472
1341,31606501
1342,31653570
1343,31700669
1344,31747808
1345,31794977
1346,31842186
1347,31889425
1348,31936704
1349,31984013
1350,32031362
1351,32078741
1352,32126160
1353,32173609
1354,32221098
1355,32268617
1356,32316176
1357,32363765
1358,32411394
1359,32459053
1360,32506752
1361,32554481
1362,32602250
1363,32650049
1364,32697888
1365,32745757
1366,32793666
1367,32841605
1368,32889584
1369,32937593
1370,32985642
1371,33033721
1372,33081840
1373,33129989
1374,33178178
1375,33226397
1376,33274656
1377,33322945
1378,33371274
1379,33419633
1380,33468032
1381,33516461
1382,33564930
1383,33613429
1384,33661968
1385,33710537
1386,33759146
1387,33807785
1388,33856464
1389,33905173
1390,33953922
1391,34002701
1392,34051520
1393,34100369
1394,34149258
1395,34198177
1396,34247136
1397,34296125
1398,34345154
1399,34394213
1400,34443312
1401,34492441
1402,34541610
1403,34590809
1404,34640048
1405,34689317
1406,34738626
1407,34787965
1408,34837344
1409,34886753
1410,34936202
1411,34985681
1412,35035200
1413,35084749
1414,35134338
1415,35183957
1416,35233616
1417,35283305
1418,35333034
1419,35382793
1420,35432592
1421,35482421
1422,35532290
1423,35582189
1424,35632128
1425,35682097
1426,35732106
1427,35782145
1428,35832224
1429,35882333
1430,35932482
1431,35982661
1432,36032880
1433,36083129
1434,36133418
1435,36183737
1436,36234096
1437,36284485
1438,36334914
1439,36385373
1440,36435872
1441,36486401
1442,36536970
1443,36587569
1444,36638208
1445,36688877
1446,36739586
1447,36790325
1448,36841104
1449,36891913
1450,36942762
1451,36993641
1452,37044560
1453,37095509
1454,37146498
1455,37197517
1456,37248576
1457,37299665
1458,37350794
1459,37401953
1460,37453152
1461,37504381
1462,37555650
1463,37606949
1464,37658288
1465,37709657
1466,37761066
1467,37812505
1468,37863984
1469,37915493
1470,37967042
1471,38018621
1472,38070240
1473,38121889
1474,38173578
1475,38225297
1476,38277056
1477,38328845
1478,38380674
1479,38432533
1480,38484432
1481,38536361
1482,38588330
1483,38640329
1484,38692368
1485,38744437
1486,38796546
1487,38848685
1488,38900864
1489,38953073
1490,39005322
1491,39057601
1492,39109920
1493,39162269
1494,39214658
1495,39267077
1496,39319536
1497,39372025
1498,39424554
1499,39477113
1500,39529712
1501,39582341
1502,39635010
1503,39687709
1504,39740448
1505,39793217
1506,39846026
1507,39898865
1508,39951744
1509,40004653
1510,40057602
1511,40110581
1512,40163600
1513,40216649
1514,40269738
1515,40322857
1516,40376016
1517,40429205
1518,40482434
1519,40535693
1520,40588992
1521,40642321
1522,40695690
1523,40749089
1524,40802528
1525,40855997
1526,40909506
1527,40963045
1528,41016624
1529,41070233
1530,41123882
1531,41177561
1532,41231280
1533,41285029
1534,41338818
1535,41392637
1536,41446496
1537,41500385
1538,41554314
1539,41608273
1540,41662272
1541,41716301
1542,41770370
1543,41824469
1544,41878608
1545,41932777
1546,41986986
1547,42041225
1548,42095504
1549,42149813
1550,42204162
1551,42258541
1552,42312960
1553,42367409
1554,42421898
1555,42476417
1556,42530976
1557,42585565
1558,42640194
1559,42694853
1560,42749552
1561,42804281
1562,42859050
1563,42913849
1564,42968688
1565,43023557
1566,43078466
1567,43133405
1568,43188384
1569,43243393
1570,43298442
1571,43353521
1572,43408640
1573,43463789
1574,43518978
1575,43574197
1576,43629456
1577,43684745
1578,43740074
1579,43795433
1580,43850832
1581,43906261
1582,43961730
1583,44017229
1584,44072768
1585,44128337
1586,44183946
1587,44239585
1588,44295264
1589,44350973
1590,44406722
1591,44462501
1592,44518320
1593,44574169
1594,44630058
1595,44685977
1596,44741936
1597,44797925
1598,44853954
1599,44910013
1600,44966112
1601,45022241
1602,45078410
1603,45134609
1604,45190848
1605,45247117
1606,45303426
1607,45359765
1608,45416144
1609,45472553
1610,45529002
1611,45585481
1612,45642000
1613,45698549
1614,45755138
1615,45811757
1616,45868416
1617,45925105
1618,45981834
1619,46038593
1620,46095392
1621,46152221
1622,46209090
1623,46265989
1624,46322928
1625,46379897
1626,46436906
1627,46493945
1628,46551024
1629,46608133
1630,46665282
1631,46722461
1632,46779680
1633,46836929
1634,46894218
1635,46951537
1636,47008896
1637,47066285
1638,47123714
1639,47181173
1640,47238672
1641,47296201
1642,47353770
1643,47411369
1644,47469008
1645,47526677
1646,47584386
1647,47642125
1648,47699904
1649,47757713
1650,47815562
1651,47873441
1652,47931360
1653,47989309
1654,48047298
1655,48105317
1656,48163376
1657,48221465
1658,48279594
1659,48337753
1660,48395952
1661,48454181
1662,48512450
1663,48570749
1664,48629088
1665,48687457
1666,48745866
1667,48804305
1668,48862784
1669,48921293
1670,48979842
1671,49038421
1672,49097040
1673,49155689
1674,49214378
1675,49273097
1676,49331856
1677,49390645
1678,49449474
1679,49508333
1680,49567232
1681,49626161
1682,49685130
1683,49744129
1684,49803168
1685,49862237
1686,49921346
1687,49980485
1688,50039664
1689,50098873
1690,50158122
1691,50217401
1692,50276720
1693,50336069
1694,50395458
1695,50454877
1696,50514336
1697,50573825
1698,50633354
1699,50692913
1700,50752512
1701,50812141
1702,50871810
1703,50931509
1704,50991248
1705,51051017
1706,51110826
1707,51170665
1708,51230544
1709,51290453
1710,51350402
1711,51410381
